list_name	name	label	region	province	cat	dealer	dealer1	dealer2	dealer3	dealer4	dealer5	dealer6	dealer7	dealer8	dealer9
brand	beer_vattanac_premium_light_can_330ml	Vattanac Premium Light Can 330ml			Beer										
brand	beer_vattanac_premium_light_pint_330ml	Vattanac Premium Light Pint 330ml			Beer										
brand	beer_vattanac_premium_light_can_250ml	Vattanac Premium Light Can 250ml			Beer										
brand	beer_umai_mugi_can_330ml	Umai Mugi Can 330ml			Beer										
brand	csd_7up_can_330ml	7up Can 330ml			CSD										
brand	csd_big_cola_pet_320ml	Big Cola PET 320ml			CSD										
brand	csd_big_cola_pet_1500ml	Big Cola PET 1.5L			CSD										
brand	csd_big_cola_pet_3100ml	Big Cola PET 3.1L			CSD										
brand	csd_cocacola_can_185ml	Coca-Cola Can 185ml			CSD										
brand	csd_cocacola_can_330ml	Coca-Cola Can 330ml			CSD										
brand	csd_cocacola_pet_1500ml	Coca-Cola PET 1.5L			CSD										
brand	csd_cocacola_pet_580ml	Coca-Cola PET 580ml			CSD										
brand	csd_cambodia_cola_can_250ml	Cambodia Cola Can 250ml			CSD										
brand	csd_cambodia_cola_can_330ml	Cambodia Cola Can 330ml			CSD										
brand	csd_est_cola_pet_1500ml	Est Cola PET 1.5L			CSD										
brand	csd_est_cola_can_325ml	Est Cola Can 325ml			CSD										
brand	csd_fanta_sprite_can_330ml	Fanta & Sprite Can 330ml			CSD										
brand	csd_fanta_sprite_can_185ml	Fanta & Sprite Can 185ml			CSD										
brand	csd_ize_cola_can_330ml	IZE Cola Can 330ml			CSD										
brand	csd_ize_cola_can_250ml	IZE Cola Can 250ml			CSD										
brand	csd_ize_cola_pet_300ml	IZE Cola PET 300ml			CSD										
brand	csd_ize_cola_pet_500ml	IZE Cola PET 500ml			CSD										
brand	csd_ize_cola_pet_1500ml	IZE Cola PET 1.5L			CSD										
brand	csd_krud_cola_can_250ml	Krud Cola Can 250ml			CSD										
brand	csd_mirinda_can_330ml	Mirinda Can 330ml			CSD										
brand	csd_mirinda_can_185ml	Mirinda Can 185ml			CSD										
brand	csd_pepsi_can_330ml	Pepsi Can 330ml			CSD										
brand	csd_pepsi_can_185ml	Pepsi Can 185ml			CSD										
brand	ed_bacchus_can_250ml	Bacchus Can 250ml			ED										
brand	ed_boostrong_can_250ml	Boostrong Can 250ml			ED										
brand	ed_super_boostrong_can_250ml	Super Boostrong Can 250ml			ED										
brand	ed_dazz_can_250ml	DAZZ Can 250ml			ED										
brand	ed_dazz_zero_can_250ml	DAZZ Zero Can 250ml			ED										
brand	ed_greet_energy_can_250ml	Greet Energy Can 250ml			ED										
brand	ed_krud_energy_can_250ml	Krud Energy Can 250ml			ED										
brand	ed_krud_pure_charge_can_250ml	Krud Pure Charge Can 250ml			ED										
brand	ed_m150_can_250ml	M-150 Can 250ml			ED										
brand	ed_m150_pint_150ml	M-150 Pint 150ml			ED										
brand	ed_powaram_can_330ml	POWARAM Can 330ml			ED										
brand	ed_redbull_can_250ml	Red-Bull Can 250ml			ED										
brand	ed_wurkz_can_250ml	Wurkz Can 250ml			ED										
brand	ed_dragon_can_250ml	Dragon Can 250ml			ED										
brand	ed_aira_can_250ml	Aira Can 250ml			ED										
brand	ed_sting_power_can_250ml	Sting Power Can 250ml			ED										
brand	ed_kingkong_can_250ml	King Kong Can 250ml			ED										
brand	ed_champion_green_can_250ml	Champion Green Can 250ml			ED										
brand	ed_cambodia_energy_can_250ml	Cambodia ED Can 250ml			ED										
brand	isotonic_pocari_sweat_pet_500ml	Pocari Sweat PET 500ml			Isotonic										
brand	isotonic_vactive_white_pet_350ml	V-Active PET 350ml			Isotonic										
brand	isotonic_vactive_white_pet_600ml	V-Active PET 600ml			Isotonic										
brand	isotonic_vactive_white_can_330ml	V-Active Can 330ml			Isotonic										
brand	isotonic_vactive_yellow_can_330ml	V-Active Yellow Can 330ml			Isotonic										
brand	isotonic_vactive_yellow_pet_350ml	V-Active Yellow PET 350ml			Isotonic										
brand	isotonic_vactive_yellow_pet_600ml	V-Active Yellow PET 600ml			Isotonic										
brand	isotonic_cambodia_sport_pet_300ml	Cambodia Sport+ PET 300ml			Isotonic										
brand	isotonic_cambodia_sport_pet_500ml	Cambodia Sport+ PET 500ml			Isotonic										
brand	med_champion_can_250ml	Champion Can 250ml			MED										
brand	med_krud_ice_power_can_250ml	Krud Ice Power Can 250ml			MED										
brand	med_vigor_can_250ml	Vigor Can 250ml			MED										
brand	med_wurkz_ice_can_250ml	Wurkz ICE Can 250ml			MED										
brand	rtd_tea_ichitan_pet_500ml	Ichitan PET 500ml			RTD Tea										
brand	rtd_tea_oishi_pet_500ml	Oishi PET 500ml			RTD Tea										
brand	rtd_tea_ad_pet_500ml	AD PET 500ml			RTD Tea										
brand	rtd_tea_v_lemon_pet_500ml	V Lemon PET 500ml			RTD Tea										
brand	rtd_tea_yoes_can_330ml	Yeo's Green Tea Can 330ml			RTD Tea										
brand	rtd_tea_c2_lemon_pet_455ml	C2 Lemon Tea PET 455ml			RTD Tea										
brand	scsd_exprez_strawberry_can_330ml	Exprez Strawberry Can 330ml			SCSD										
brand	scsd_exprez_strawberry_pet_300ml	Exprez Strawberry PET 300ml			SCSD										
brand	scsd_exprez_strawberry_pet_500ml	Exprez Strawberry PET 500ml			SCSD										
brand	scsd_exprez_melon_can_330ml	Exprez Melon Can 330ml			SCSD										
brand	scsd_exprez_melon_pet_300ml	Exprez Melon PET 300ml			SCSD										
brand	scsd_idol_can_330ml	Idol Can 330ml			SCSD										
brand	scsd_samurai_can_330ml	Samurai Can 330ml			SCSD										
brand	scsd_samurai_pet_480ml	Samurai PET 480ml			SCSD										
brand	scsd_sting_red_can_330ml	Sting Red Can 330ml			SCSD										
brand	scsd_sting_red_pet_500ml	Sting Red PET 500ml			SCSD										
brand	scsd_sting_yellow_can_330ml	Sting Yellow Can 330ml			SCSD										
brand	scsd_sting_yellow_pet_500ml	Sting Yellow PET 500ml			SCSD										
brand	scsd_sting_blue_charge_can_330ml	Sting Blue Can 330ml			SCSD										
brand	scsd_top_upp_can_330ml	Top Upp Can 330ml			SCSD										
brand	scsd_popz_pet_330ml	POPZ PET 330ml			SCSD										
brand	juice_freshy_can_330ml	Freshy Can 330ml			Juice										
brand	juice_yoes_can_300ml	Yoe's Can 300ml			Juice										
brand	juice_eragold_can_300ml	Eragold Can 300ml			Juice										
brand	juice_dayday_can_300ml	Day Day Can 300ml			Juice										
brand	juice_yengo_can_300ml	Yengo Can 300ml			Juice										
brand	juice_funfun_pet_100ml	Fun Fun PET 100ml			Juice										
brand	juice_dili_pet_500ml	Dili PET 500ml			Juice										
brand	milk_olatte_can_240ml	Olatte Can 240ml			Milk										
brand	water_angkor_puro_pet_350ml	Angkor Puro PET 350ml			Water										
brand	water_angkor_puro_pet_500ml	Angkor Puro PET 500ml			Water										
brand	water_angkor_puro_pet_1500ml	Angkor Puro PET 1.5L			Water										
brand	water_aruna_pet_500ml	Aruna PET 500ml			Water										
brand	water_aruna_pet_1500ml	Aruna PET 1.5L			Water										
brand	water_bn_pet_630ml	BN Water PET 630ml			Water										
brand	water_bn_pet_1500ml	BN Water PET 1.5L			Water										
brand	water_cambodia_pet_350ml	Cambodia Water PET 350ml			Water										
brand	water_cambodia_pet_500ml	Cambodia Water PET 500ml			Water										
brand	water_cambodia_pet_1500ml	Cambodia Water PET 1.5L			Water										
brand	water_colee_pet_300ml	Colee Water PET 300ml			Water										
brand	water_colee_pet_500ml	Colee Water PET 500ml			Water										
brand	water_colee_pet_1500ml	Colee Water PET 1.5L			Water										
brand	water_dasani_pet_500ml	Dasani PET 500ml			Water										
brand	water_dasani_pet_1500ml	Dasani PET 1.5L			Water										
brand	water_hitech_pet_250ml	Hi-Tech PET 250ml			Water										
brand	water_hitech_pet_350ml	Hi-Tech PET 350ml			Water										
brand	water_hitech_pet_600ml	Hi-Tech PET 600ml			Water										
brand	water_hitech_pet_1500ml	Hi-Tech PET 1.5L			Water										
brand	water_lyyon_pet_500ml	Lyyon PET 500ml			Water										
brand	water_lyyon_pet_1500ml	Lyyon PET 1.5L			Water										
brand	water_namthip_pet_550ml	Namthip PET 550ml			Water										
